Cristiano;26 de outubro de 2022;Aplicativo péssimo. Apenas para consulta. Todo mês o mesmo sofrimento. A fatura não chega pelos correios e tenho que ficar entrando em contato com gerente para fornecer código de barras. Já estou deixando de utilizar muitos serviços desse banco. Nada e pratico. Tudo depende de gerente. (A boa vontade) aplicativo arcaico. Só estresse. Já nem uso esse cartão mais para não passar raiva e cancelar logo. Assim que terminar de pagar todas as faturas, vou bloquear Não indico para ninguém.
ana ninha;7 de novembro de 2022;Não consigo abri o aplicativo e já faz dias coloco a senha não gera o código já tentei várias vezes com a chave de segurança e até agora nada e outra coisa tem que ir até o banco pra pegar a fatura poderia ser muito mais fácil se desse pra pegar pelo aplicativo e paga por ele mais nem isso não facilita
Daniela Ferreira Marra;29 de outubro de 2022;Está com bug!!! não consigo desbloquear o cartão, já instalei, desinstalei..... Toda vez que vou desbloquear, ele volta pra tela inicial pedindo a chave de segurança e na segunda tentativa da erro, (BUG). DIFÍCIL ASSIM 😞
Paulo Cesar Aguiar Filho;14 de julho de 2022;App muito ruim, não serve pra nada, não é possível exportar a fatura (dá erro), não existe a opção de gerar o código de barras para pagamento, no fim tem que ligar na central e esperar horas. App totalmente dispensável!
Michele Dias;28 de setembro de 2022;Como o app teve atualização, tentei usar novamente mas o problema continua o mesmo. Mesmo meu cadastro estando atualizado, continua dando erro de cadastro...
Mary Tasca;22 de agosto de 2022;Péssimo, só presta msm pra tirar memória do meu celular, pq não consigo gerar código de barras pra efetuar o pagamento e toda hora que vc precisa voltar o app por algum motivo, precisa ficar colocando código enviado por SMS que enche minha caixa de msg tirando mais memoria do meu celular. No mínimo tinha que gerar o código de barras pra pagamento , todo mês preciso ficar mandando msg pra gerente pedindo pra não pagar juros pq pelos correios atrasa e eu acabo pagando juros.
Guilherme Nasseh;10 de outubro de 2022;O aplicativo simplesmente não funciona. Demora para abrir e quando abre qualquer funcionalidade trava o app.
Vitoria Carla;7 de setembro de 2022;Aplicativo ruim, só serve para consulta de limite do cartão, a fatura não chegou na minha casa e infelizmente está desgastante tentar pegar 2° via, pois o app não fornece, liguei no fale fácil e a atendente disse que teria que ser no app, sendo assim minha fatura está correndo juros pelo péssimo atendimento bancário.
rodrigues rodrigues de araujo;22 de outubro de 2022;Não consigo entrar no aplicativo e vê minha fatura do cartão Amex ja liguei pra central e não resolveram nada mandaram eu desinstalar o aplicativo a instalar digo-vos mas continua a mesma coisa
Maylon Carvalho;22 de outubro de 2022;Para ser ruim tem que melhorar, nao tem nem onde pagar a fatura do cartão, app inútil.
Hilton Carpanez;23 de outubro de 2022;Sempre quando tento abrir a fatura o app da erro e quando volto pede para acessar o login novamente.
Anderson Silva;20 de setembro de 2022;Não é possível baixar a fatura para pagamento, isso é inédito, cartão empresarial e preciso correr atrás para conseguir pagar.
reginaldo andrade;21 de maio de 2022;Péssimo, você coloca todas informações de de cadastro e ele informa q está desatualizado, vc liga pro 0800 do banco, e depois pro cartão de crédito e depois pro suporte técnico do aplicativo, falam que o cadastro ta atualizado mas o erro do aplicativo continua e por isso não funciona, eles passam quase 1 hora te transferindo um pro outro mas ninguém resolve nada.
Antonella Guarnieri;14 de julho de 2022;Aparentemente não sou a única insatisfeita. Não vejo uma avaliação positiva. Extremamente inútil. Não consegue fazer nada neste app. Nem sequer pagar uma fatura. Arcaico demais!
Rafael Valêncio Barbosa;6 de julho de 2022;Além de ter que entrar no outro app do Bradesco para pegar a chave se segurança o aplicativo fecha se vc tenta entrar em qualquer campo disponível. Ele só te mostra a página principal com um geral dos valores. Mas vc não consegue entrar em fatura ou qualquer outro campo. Diz que tem que aguardar o desenvolvedor atualizar o app pra vc atualizar uma nova versão, pois esse tem bug.
W Bennet (Airless Brasil);31 de agosto de 2022;Horrivel, até o Nubank que começou ontem, tem melhor aplicativo que este. Lamentável não conseguir acompanhar a fatura do cartão.
Alcilene silva;6 de setembro de 2022;APP horrivel! Fica toda hora saindo do APP e tenho q ficar entrando e não consigo ver nada pq fica fechando...difícil hein
Íkaro Vasconcelos;4 de agosto de 2022;Péssimo app tentei de várias formas pra fazer login e não consegui, liguei duas vezes para central e ninguém resolve isso.
Marcelo Borges;3 de junho de 2020;Boa noite! Instalei o app, em um aparelho Ipad S.O IOS, quando executa o aplicativo, reporta solicitando atualização de headers, ao clicar em atualizar, o processo não evolui a tela permanece travada solicitando, atualizar este cabeçalho HTTP. Realizei a instalação no S.O Android e o processo fluiu normalmente. Seria alguma incompatibilidade com o IOS do Ipad?
Carolina Barreiros Trevisan;8 de fevereiro de 2022;Nunca vi um aplicativo que pra funcionar precisa ser instalado com ajuda de uma Central de Atendimento via telefone, atendentes que não saber ler, escrever ou conversar, totalmente despreparados!! Ao invés de facilitar, só complicam a vida e tecnologia aqui passa longe e assim fica fácil saber porque as startups ganham cada vez mais espaço.
Cesar Vinicius Izidoro;9 de julho de 2021;Aplicativo horrível! Impossível de se fazer o cadastro no primeiro acesso, estou há mais de um mês tentando e todas as vezes o aplicativo simplesmente para de funcionar e fecha sozinho. Já fiz contato por telefone na Bradesco Cartões e meu cadastro está atualizado, todas as informações corretas, mas é simplesmente impossível de acessar. Logo após tentar criar uma senha o aplicativo para de funcionar. Péssimo serviço, estou desistindo de tentar usar, já me tomou muito tempo e paciência.
Gardenia Silva;13 de outubro de 2020;Tentando cadastrar a dias ele da erro direto. Demora a enviar a senha para o e-mail e quando finalmente chega que vai colocar ele passa que esta vencida. Difícil. Ja desinstalei e instalei umas 10 vezes e continua a falha. Ja atualizei dados na central e nada.
Rosane Silveira;29 de outubro de 2022;Desinstalando de tao ruim!!!só da erro no entrar.
Pedro Della Volpe;1 de agosto de 2022;Não consigo cadastrar a senha. Não valida nunca, fica horas e não termina a validação.
Joel Damann;24 de agosto de 2022;App não funciona a metade das funções. Nem consigo ver extrato nem fechamento do cartão
daniela chaves teixeira;9 de setembro de 2022;O app livrou muito antes tinha como antecipar o pagamento do cartão e o mrsmo era liberado logo, agora não sei pra que serve este app alguém poderia explicar o motivo dele existir
Douglas Neto;15 de julho de 2021;Desisto! 3 ligações para o Bradesco e nada de resolver, diz que atualizaram cadastro mas no APP da sempre o mesmo aviso que precisa atualizar. Para variar, mais um problema com a plataforma. Ultimamente tenho colecionado problemas com o Bradesco! Triste!
Paty sodré;1 de maio de 2022;App aparecendo o mesmo erro de ligar pra central e atualizar cadastro o que já fiz milhões de vezes , sou informada que esta atualizado seguindo o mesmo erro. Já enviei email para o apoio sem retorno. E pelo que vi aqui o mesmo erro aparece para quase todos e a resposta padrão de vocês é enviar e-mail que também não resolve...na justiça de repente resolve...
André Wurzmann;14 de setembro de 2022;Péssimo, não permite acessar conta ou fazer primeiro acesso pelo app
Silvânio Rosa Dos Santos;27 de outubro de 2022;Não gostei, não visualiza fatura futuras.
Andrey Campos (AC);14 de maio de 2020;Erros. Atualize seu cadastro (tela de login) e Dados não encontrados (tela de primeiro acesso). Já atualizei. Erros continuam. SAC desligou na minha cara porque não sabia mais o que fazer pra colocar o aplicativo funcionando. Acredito que se um aplicativo tem problemas de acesso a base de dados experimentais de usuários, ou não deveria ser lançado ou deveria estar em fase beta.. Contudo espero que corrijam isso porque meus dados estão corretos e são os mesmos desde 2007. Grato
Bazar e Papelaria Louise;10 de julho de 2022;Estou a uma semana tentando acessar i aplicativo tbm da erro de cadastro . Atualizo e nada muda🙄🙄
elizabeth menezes;13 de julho de 2022;Nunca consigo acessar esse aplicativo sempre da cpf não localizado não sei que marmota é essa, cinseramente.
Churras Em casa Alex Xavier;30 de julho de 2021;Gente como pode um banco disponibilizar um app deste para seus clientes tive que fazer 8 cadastro por causa de erro ir até uma agência pedir ajuda E por fim conseguir abrir a plataforma. Mas aí vem a decepção as informações que contém no app não são claras e ainda não tem opções válidas para tirar dúvidas sobre compras, pagamentos, saldo detalhado, devolução de valores quando a compra é cancelada. Não tem nada do que adianta ter o trabalho de fazer um app que não funciona? Tendo que ligar sac?
Santana Alves da silva;7 de setembro de 2022;Está pessimo consultar saldo só consigo visualizar uma vês depois apaga não concgk mas visualizar
Claudinei Barroso;3 de julho de 2021;Horrível, não consigo finalizar o cadastro no primeiro acesso, dá mensagem pra atualizar o cadastro, liguei na central de atendimento, não conseguiram me falar o que está errado ou faltando no cadastro, passei todos meus dados, tentei novamente e nada, fui na agência, atualizaram tambem o cadastro, tentei novamente e nada, liguei novamente na central de atendimento me informaram pra enviar um e-mail pra eles com meus dados, obs só que esse tal email retornou falando que não existe, Péssimo app!
Prof. Rodrigo Leão;7 de outubro de 2020;Ruim demais. Quando não dá erro no acesso, ele dá erro ao tentar encontrar os cartões (isso, quando consigo acessar). Verdadeiro inferno. Preciso usar e não consigo. Só não caio fora porque é da empresa. Se fosse para ser um uso particular, Bradesco já teria me perdido como cliente.
moacyr gomes de lima junior gomes;3 de abril de 2022;Bia noite, tem três dias que estou tentando acessar a minha fatura, querendo fazer um parcelamento e não consigo, já me mandaram atualizar mais de três vezes, já liguei várias vezes e ninguém resolve nada, app péssimo, infelizmente vou ter.que ir até agência tendo outras coisas pra fazer, prestação de serviço horrível.
Vaclav Filho;16 de abril de 2022;Péssimo aplicativo e suporte pior ainda. Nunca consegui acessar, pois pede a todo momento para eu atualizar meu cadastro. Já fiz isso umas 10x pela central de atendimento do banco, e nunca funciona. Agora preciso viajar ao exterior a trabalho, e o atendimento por telefone diz que só posso habilitar o uso do meu cartão no exterior por meio do app. Me colocaram numa situação delicada, e pelo visto vão me deixar na mão. Imagina se eu viajo e o cartão não funciona? Nota zero para o Bradesco!
Igor Martins Cordeiro;26 de maio de 2020;O app simplesmente não funciona corretamente, trava toda hora, fecha toda hora, não aparecem os lançamentos logo após o uso e não aparecem lançamentos de alguns meses anteriores.
Irene Sarmentorufinorafael pereira;15 de setembro de 2020;Péssimo ja atualizei o cadrastro e sempre da erro depois de varias ligação o atende simplesmente disse que o app nao funciona e esta em estado de teste então pq coloca para baixar e tem que treinar mas os atendente para dar informação correta logo no primeiro atendimento horrivel ja faz dois meses tentando e nada ligo para o numero e la tabem nao consegui resolver
Vlademi Sanches;19 de novembro de 2020;Simples até de mais, só da pra ver o limite e extrato. Deveria ter no mínimo a opção de antecipar compras parceladas. Atualmente no Bradesco pra pessoa antecipar parcelas de compras tem que ligar no fone fácil e passar 30min pendurado, ou então mandar um e-mail pra ser respondido em 3 dias... complicado viu!!
Leandro Martins;27 de abril de 2022;Tenho 3 cartões de uma outra empresa que trabalhei, estão cancelados,mas não consigo tirar do app Quero deixar somente o que está ativo Já liguei para os números de atendimento e um joga pro outro dizendo que não dão esse suporte. Quero resolver Já desinstalei e instalei o app e nda App muito limitado deveria ter configuração para excluir
AAS DIAGNOSTICOS;23 de maio de 2022;Péssima, pelo visto não conseguem consertar o bug do app, as queixas são às mesmas! "Erro contínuo" ... Manda atualizar o cadastro... Seus sistemas não interagem entre os seus departamentos? Gastam milhões em marketing e esqueceram do investimento no funcional! É muito triste! Na minha santa ignorância...
Fernando Simon;13 de julho de 2022;Inacreditável que o app de um banco como o Bradesco seja tão ruim, todo santo dia é um stress simplesmente abrir o app. E o pior que sabem que do erro, e não corrigem, não me sinto bem em reclamar, mas não tem como elogiar.
David Elias;9 de junho de 2022;Meu aplicativo péssimo, para acessar você precisa entrar em outro app logar, pegar o token gerado e depois voltar no app... Totalmente ruim e a interface horrível!
Rita De Cassia Ritinha;25 de junho de 2022;Não consigo nem instalar o aplicativo. Já possuo o Bradesco da minha conta porém recebi o cartão de crédito e n consigo usar. Meu tel possui espaço mas na hora de baixar fica baixando a vida toda e nunca termina .
Arthur Pipolo -ALP;23 de maio de 2022;Péssimo! Baixei para desbloquear meu cartão e só dá erro pedindo para eu atualizar meus cadastros na agência. Ocorre que todos os dados estão devidamente atualizados.
Ailton Ferreira Santos;2 de outubro de 2021;Infelizmente, o APP simplesmente desapareceu da tela... Fui ao Play Store e vidualizei... Paguei algumas contas... Como w expirou e nao mais consigo executar as transacoes... Esgota no meio o tempo... E nao consrguir reinstalar! Nao da para entender!!!
Bell Vianna;1 de julho de 2020;Aplicativo simplesmente não funciona. Fala que os dados estão incorretos mas os dados estão corretos. Pessoal do SAC nao consegue por pra funcionar. Atualizam o cadastro mas mesmo assim continua dando erro.
Paulo Henrique Barreto Santana;31 de maio de 2022;Um retrocesso, nunca vi um app tão péssimo, nada funciona, não tem como imprimir fatura para pagamento, não gera código de barra, um verdadeiro lixo
Doug Souza;10 de setembro de 2020;Esse App não atualiza as compras feitas de imediato como o app cartões PF, as informações que esse App nos dá tem no App da conta jurídica, ou seja não me ajuda em nada e não tem diferença sobre as informações que temos acessando a conta, caso atualizem em tempo real o histórico de comprar eu volto p requalificar, mas por enquanto EU NÃO VOU USAR. espero ter ajudado quem estiver na dívida
Denio Caixeta;29 de setembro de 2022;Péssimo, na era da impressão digital, temos que ficar buscando chave em app de pessoa física. PESSIMO
José Lindoso;8 de setembro de 2022;Esse app deveria sincronizar com seus dados já cadastrado no banco porém não completa o cadastro dizendo que vc precisa atualizar seus dados lhe orientando a ligar no banco só que vc liga e ninguém sabe lhe orientar, deveria ter alguém responsável pelo app.
Bruno e Gabriel Eng;20 de maio de 2022;Zero estrela! Não consigo de jeito nenhum acessar a fatura ou solitário a segunda via. O pior app de cartões que já tive.!!!
Edson José Ferreira;28 de maio de 2022;Aplicativo muito ruim, fiz tudo certinho aí diz que a chave está errada sendo que o próprio Bradesco que informa a chave, péssimo app. Acho o aplicativo não funciona só diz tente mais tarde
João Batista Lima Jr;5 de setembro de 2020;Qual a utilidade um app que não faz nada? Não te dá 2a via da fatura, boleto, nada. Tive que ligar para o telefone e passar raiva com o péssimo atendimento telefônico. Parece que fazem curso para ser o pior possível no telefone.
Rogerio “Worth” Almeida;15 de setembro de 2021;Péssimo, após a última atualização não funciona mais, só dá erro ( Ocorreu um erro, por favor tente novamente) está assim há dois dias ... Demora pra apontar o pagamento e agora o app não funciona m, que não dá nem a opção de baixar a fatura, terrível...
Rodhan Muzy;24 de maio de 2021;O aplicativo não atualiza a fatura em tempo real, somente o limite usado, impossível controlar os gastos dessa forma. Login e troca de senha também não são dinâmicos.
Cleber Teixeira;23 de março de 2021;Muito difícil tem que fazer um cadastro pelo telefone antes de conseguir acesso. Tentei três vezes fazer o cadastro pelo telefone na última fiquei 30min para atendente dizer que o sistema estava fora do ar. Não FUNCIONA!!!
Maria De lourdes;7 de outubro de 2022;Uma dificuldade em instalar o App
Raphael Villanueva;28 de agosto de 2020;Péssimo igual ao Bradesco, se não conseguem fazer um app decente que funcione porque colocar para baixar? Simplesmente não sai da tela de login, nem o cadastro vc consegue fazer pq dar um erro logo no início, mais uma vez dou uma estrela, pq por mim não teria nenhuma, péssimo aplicativo!!!
Sérgio André Buffara Filho;28 de outubro de 2020;Nunca funcionou! Sempre diz que tenho que atualizar os dados cadastrais, mas os mesmos já se encontram atualizados! Já tentei atualizar novamente, liguei para tentar resolver e nada! Péssimo app
Samanta Ribeiro;19 de fevereiro de 2022;Não se consegue acessar nunca. Sempre acusa falta de atualização de cadastro. Já fiz atualização duas vezes pelo fone fácil, e nada. Vc pede ajuda na gerência do banco, e nada. Enfim...
jefferson costa;27 de julho de 2020;Péssimo aplicativo. Não funciona. Bradesco tem uma equipe de atendimento para cuidar de tudo referente ao aplicativo e igual a ele também não funciona. Perda de tempo.
Yuri Sanches;4 de maio de 2022;Bom dia,estou tentando visualizar minha fatura ,mais não abre e o app fecha apresentando um bug. Já desinstalei duas vezes e o problema continua.
Maria Izabel Martins Vicentini;9 de dezembro de 2020;Este APP não está bom ele trava e bloqueou minha conta e está bloqueada ainda já fiz de tudo para desbloquear más não consigo, e não aceita mais a mesma senha e já tentei com outra senha mais não desbloquea eu gostaria de saber se tem como desbloquear para quê eu possa ter acesso em minha conta !!
Mari Linharess;9 de agosto de 2020;Praticamente não tem funcionalidade! Não consigo visualizar a minha fatura e tampouco pegar o código de pagamento.... O que aparece das transações não teem boas visualizações..
Ramon Alves;6 de outubro de 2020;Horrível, péssimo aplicativo, atendimento inoperante, isso porque é o atendimento PJ, que em tese é melhor. Não consigo entrar no aplicativo para ver nada, nenhuma informação, erro atrás de erro.
Maria de Lourdes;8 de agosto de 2021;Boa tarde. Não consigo entrar pra ver minhas faturas, dígito número do cartão é a senha é diz que o meu padrasto está bloqueado e manda ligar para a Central mas ninguém resolve nada, e não se mais o que eu posso fazer para ter o app funcionando.
Carla Francoise Rossi Silva;4 de maio de 2022;Fazem 2 meses que estou tentando acessar o app , já fiz atualização do meu cadastros umas 5 vezes , já mandei email para a central de apoio , para obter ajuda, mas até agora sem resposta , e continuo não conseguindo acessar o app.
Priscilla Ferreira;25 de fevereiro de 2021;Abaixei o a app e logo de cara não funciona gostaria de saber qual e a Providência que o app tomara sobre o ocorrido aparece na mensagem que ocorreu um erro tentar mais tarde isso se repete por várias vezes
Elias Joaquim;11 de maio de 2021;Horrivel esse app Bradesco,ja usava a um bom tempo,sempre deu problemas,agora desistalou do cel,reinstalei novamente,mas nao consigo entrar mais,pede chave de seguranca,quando tento entrar diz que estou desconectado, levei no banco 2 gerentes tentaram tbn e não conseguiram,nem com o wi fii do banco entra,por sorte nao pude pagar o cartao de credito, pq n consegui acessar o codigos de barras, parabens bradesco,sempre inovando.
Rafael Reis;20 de setembro de 2021;Não consigo nem acessar o app, ele pede pra ligar na central e atualizar o cadastro. Já liguei 2 vezes e nada da o mesmo erro.
marcelo ferreira bernardo;24 de junho de 2021;Horrível ja liguei pra central e atualizei meu cadastro atendente disse pra q eu aguardasse 24hrs para poder ter acesso so q ja faz mais de um mês e smp q tento usar ficar pedindo pra fazer atualização de cadastro 🤬 desisto passou longe de ser ruim porque na minha opinião é PÉSSIMO Obs: só dei uma ⭐ porque não tem cm opinar sem 😡😒
Maikon Novaes;9 de abril de 2022;Pior aplicativo que ja vi. Tenho mais de trinta ligações pra central de atendimento e nunca consigo acessar, acho que deve ter um submundo dentro do aplicativo!
Emerson Freitas;8 de novembro de 2021;Sou o titular da empresa e não consigo acessar as informações, como envio de fatura via e-mail ou qualquer outra coisa, liguei no atendimento e mandaram uma carta de responsabilidade para preencher como se não fosse o titular, palhaçada isso, tanto no APP, quanto no desktop.
Luis Henrique;21 de setembro de 2020;Vou dar 1 estrela não consigo usar o aplicativo. Já entrei em contato para atualizar os dados, como é solicitado no primeiro acesso, mas nada, sempre da a mesma mensagem, atualize seus dados. Complicado usar esse aplicativo.
Um usuário;22 de setembro de 2021;Que aplicativo péssimo! Faz mais de duas horas que estou tentando acessar para desbloquear o cartão, mas ele sempre apresenta erro na hora de salvar a senha.
Décio Damasco de Souza;26 de agosto de 2021;Pessoal, appl é muito ruim.... Liguei para saber onde encontro a fatura para pagamento. Me disseram que o aplicativo não funciona no Samsung Note10. Bradesco, troque de técnicos. Pois estou muito satisfeito com o meu celular
Claudia Grum';12 de novembro de 2020;Péssimo, nunca consegui acesso, diz que precisa atualizar dados, liguei na central e me asseguraram de que estava tudo ok, novamente tentei e nada... péssimo, não recomendo!
Felipe Nascimento;4 de julho de 2020;Aplicativo horrível, da erro ao logar, mas ao insistir muito e conseguir logar, ele não passa da parte onde clico no cartão, logo em seguida da um erro de novo
Darcylene Soares Figueira;7 de novembro de 2020;Instalei no tablet e não consegui acessar. Coloco a senha e... nada. Frustrante, coloco esqueci senha surge msg de erro🤔😕 "Talvez o app não esteja otimizado para esse dispositivo" Viva o app do Banco do Brasil, CEF e carrefour🙂
Gidalva Sarraf;17 de fevereiro de 2022;Verdadeiro lixo , apos a instalação pede para atualizar o cadastro, sendo que o meu cadastro está atualizado, simplesmente não funciona, perda de tempo.
Lucas Leopoldino;5 de março de 2022;A mais de 20 dias tô tentando fazer meu cadastro e não consigo, aparece uma mensagem dizendo que tenho que atualizar meu cadastro. Já atualizei e cadastro pelo APP empresas e APP pessoa física e mesmo assim não consigo fazer o cadastro..
Gerailton Costa Da Silva;26 de fevereiro de 2021;Bradesco que apk é esse? Só falhas! Consertem isto, pois os aplicativos do banco funcionam normalmente. Mais esse de cartões PJ é muito ruim. Horrível, só lamento.
Amanda Peregrino Faria;2 de outubro de 2021;Lixo! Ao invés de facilitar, só irrita, no meu caso ficam pedindo p ligar na central e atualizar dados, peguei informações diretamente na agencia e inseri, mas nada de dar certo.
Jania Maria Serrao;18 de outubro de 2021;Preciso de um app bradesco no qual verifique saldo de minha conta corrente, faça transferência, pagamento com pix. Essa versão é boa, porém, não é o que estou precisando.
Arleson Sousa;7 de outubro de 2022;Não consigo verificar quanto tenho de crédito e saque no meu amex.
André Gutierrez;5 de maio de 2021;Não consegui cadastrar minha senha de acesso pelo app, tive que acessar o site. Agora com a senha cadastrada o app simplesmente cai quanto tento logar. Estou sem acesso nenhum.
Luiz C;10 de setembro de 2020;App não funciona e as poucas vezes que abria não tem opção de extrato, quando era direto no Amex funcionava muito bem, inacreditável um banco do porte do Bradesco não disponibilizar um app que funcione
Bruna Batista;10 de maio de 2022;Pior aplicativo, nunca consegui entrar, sempre pedem para atualizar o cadastro e ligar para central de atendimento. Horrível.
Verônica Souza;13 de setembro de 2021;Estou tentando acessar e não consigo, ele volta o tempo todo para tela inicial, vou em primeiro acesso preencho e tudo e ele retorna , o 0800 não é permitido de celular e ninguém,mas no mundo tem telefone fixo.
Vinicius Nennemann;27 de abril de 2021;Realmente aplicativo não vale nada pede para atualizar os dados na central sendo que já tá tudo atualizado. Para que fazer um aplicativo desse que não serve para ajudar nós clientes. (Lixo lixo não presta)
Adriana Lacerda;24 de março de 2022;Não consigo acessar o app. Tento pelo biometria e nada, digito a senha e nada. Parece que fica congelado no primeira tela do app. Horrivel esse aplicativo.
Felipe Pesci;20 de maio de 2020;nao aparece a fatura para pagar...toda vez tem que ligar na central para fornecer o numero do codigo de barras para pagar... por favor corrir, pois do jeito que está o aplicativo é quase inútil.
Leticia Freitas;23 de março de 2022;Estou a uma semana tentando fazer meu primeiro acesso e pede atualização cadastral, já fiz e nada adiantou . Pra completar ainda bloqueram meu cartão. Péssimo atendimento!
Renato Santos;30 de agosto de 2022;Muito lento para a gente entra, só está a minha obicervacao
